CODE,corn,wheat,oat,barley,hay,soybean,horse,cattle,swine,sheep
830,0.0738977706374782,0.0185524988637348,0.0478293817685493,0.0207724559606457,0.0580383713288275,0.0309726390334562,0.0107368082434229,0.0931282914585712,0.0546857473469638,0.0286581353013275
1270,0.0738977706374782,0.0185524988637348,0.0478293817685493,0.0207724559606457,0.0580383713288275,0.0309726390334562,0.0107368082434229,0.0931282914585712,0.0546857473469638,0.0286581353013275
370,0.0738977706374782,0.0185524988637348,0.0478293817685493,0.0207724559606457,0.0580383713288275,0.0309726390334562,0.0107368082434229,0.0931282914585712,0.0546857473469638,0.0286581353013275
690,0.0738977706374782,0.0185524988637348,0.0478293817685493,0.0207724559606457,0.0580383713288275,0.0309726390334562,0.0107368082434229,0.0931282914585712,0.0546857473469638,0.0286581353013275
670,0.0738977706374782,0.0185524988637348,0.0478293817685493,0.0207724559606457,0.0580383713288275,0.0309726390334562,0.0107368082434229,0.0931282914585712,0.0546857473469638,0.0286581353013275
780,0.0738977706374782,0.0185524988637348,0.0478293817685493,0.0207724559606457,0.0580383713288275,0.0309726390334562,0.0107368082434229,0.0931282914585712,0.0546857473469638,0.0286581353013275
430,0.0738977706374782,0.0185524988637348,0.0478293817685493,0.0207724559606457,0.0580383713288275,0.0309726390334562,0.0107368082434229,0.0931282914585712,0.0546857473469638,0.0286581353013275
350,0.0738977706374782,0.0185524988637348,0.0478293817685493,0.0207724559606457,0.0580383713288275,0.0309726390334562,0.0107368082434229,0.0931282914585712,0.0546857473469638,0.0286581353013275
1010,0.0738977706374782,0.0185524988637348,0.0478293817685493,0.0207724559606457,0.0580383713288275,0.0309726390334562,0.0107368082434229,0.0931282914585712,0.0546857473469638,0.0286581353013275
190,0.0738977706374782,0.0185524988637348,0.0478293817685493,0.0207724559606457,0.0580383713288275,0.0309726390334562,0.0107368082434229,0.0931282914585712,0.0546857473469638,0.0286581353013275
570,0.0738977706374782,0.0185524988637348,0.0478293817685493,0.0207724559606457,0.0580383713288275,0.0309726390334562,0.0107368082434229,0.0931282914585712,0.0546857473469638,0.0286581353013275
